oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
(OCoLC)on1146547139,434041,20200327141542.0,"Williams, Charles,active 1797-1830,etcher.",The constitutional squad (ie opposition) advancing to attack[print].,1 print :hand colored etching ;image: 243 x 501 mm; plate mark: 275 x 519 mm; sheet: 290 x 551 mm,summary,Revolutionary,"A procession of the Opposition headed by Moira (left) in regimentals, beating a drum, marches to the attack. Next, Grenville and Grey march together. Grenville, short and with massive posterior, stoops forward; he is Don Quixote, wearing the barber's bowl (Mambrino's helmet). He holds a tilting-lance and a shield on which is the profile head of Fox and the inscription 'Opera Illius Mea Sunt'. Grey, on Grenville's right, walks erect, holding up a banner inscribed 'Black Spirits and White Blue Spirits and Grey, come mingle mingle you that mingle may' [words quoted by Burke from Macbeth in 1791]. Behind them walks Sidmouth, holding a long syringe across his shoulder, and under his left. arm a basket full of bottles, with a paper: 'Pills Potions Lotions for blundering Ministers'. The tall Erskine follows, in Chancellor's wig and gown, with arms raised and fists clenched. He sings (misquoting O'Hara's 'Midas', ii. 3). Beside him is the much shorter Ellenborough, whose head, wig, and a gouty leg emerge from behind Windham, who, with Sheridan, is straining at the ropes by which a large cannon is dragged along. Sheridan is dressed as Harlequin, with wooden sword and bonnet rouge tucked under the belt which encircles his paunch. Behind them is Temple carrying on his head a large basket labelled 'Amunition'. It is filled with documents: 'Bark Bill', 'Mutiny Bill', 'Cold-bath Fiels' [sic], 'Oude Question', 'Copenhagen', and (projecting from a hole in the basket) 'State Papers'. The cannon, mounted on a heavy gun-carriage, is inscribed 'Revolutionary Argument', with a bonnet rouge above the words. The head of the Devil Peeps from the muzzle; he says with a grin: ""Ah! Ca Ira, ca Ira! ca Ira!"" Lord Henry Petty bestrides the cannon near its mouth, jovially playing the fiddle and singing. Behind him is Derby, also astride and holding up a slow-match which resembles a serpent spitting flame and smoke. Whitbread walks behind holding up in both hands a foaming tankard of 'Whitbread Entire Froth'. Next, Burdett walks, supporting himself on crutches, a bandage round the leg wounded by Paull. He is pushed forward by Horne Tooke, who says: ""Now my Boy remember my Instructions bother 'em well, touch 'em to the Quick"". He and a man whose head is partly hidden push the cannon. Behind Tooke a man hurries forward holding up a document inscribed 'Adress to his Majesty . . . Copenhagen.' He shouts ""Push on, Push on, I'll give them a sharp attack."" He is Richard ('Conversation') Sharp. On the extreme right. is an unrecognizable head.",Aggrandizement
(OCoLC)ocn270843765,185881,20240808182724.0,"Cruikshank, Isaac,1756?-1811?,etcher.",Mrs. Clarke's petticoat[print].,1 print :hand colored etching ;image: 277 x 201 mm; sheet: 347 x 224 mm,summary,Genius,"A figure with the cocked hat of the Duke of York supported on a crosier issuing from a mitre. This mitre rests on a flat surface inscribed 'Magic Circle' and representing the waist of Mrs. Clarke. From this hangs a petticoat, short enough to reveal the Duke's boots, the base of the figure. Round the hem of the petticoat is a broad blue band, representing the Garter ribbon, and inscribed 'HONI SOIT QUI MAL Y PENSE'. From the waist hangs a pocket filled with guineas. Below the title: 'Under this may be found a soothing for every pain, a remedy for every sorrow & a reward for every trouble--here the lover may find bliss--the hero rest & the Church Man as comfortable a repose as can be obtained on earth--here no diplomas are required to substantiate merit--no proofs necessary to be given of Genius Talents or Honor no impediments of Want of Virtue, Character or Reputation, but any one may slip in unperceived (secrecy being Observed) & meet the reward of his laudable ambition provided he can deposite a few Guineas in the pocket appended or lodge a reasonable deposit at Coutt's or Clarke's & C° Gloucester place'",Aggrandizement
(OCoLC)ocn270843839,185900,20240808182727.0,"Williams, Charles,1796-1866,etcher.","Regency fete, or, John Bull in the conservatory[print].",1 print :hand colored etching ;image: 246 x 373 mm; sheet: 263 x 380 mm,summary,famous,"A farmer (John Bull) and his family gape in amazement at the arrangements for the Regency fête on 19 June. The narrow table extends across the design receding from left to right, the cloth hanging over the seats of chairs in the foreground. The famous canal decorates the centre of the table with its gold and silver fish, and the table is laid with gold plate, and ornate cut-glass goblets and decanters labelled 'Dry Champain', 'Claret', and 'Burgundy'. There are three-branched gold candelabra. The Prince's chair is on the extreme right; beside it stand a man in livery and an attendant in plain clothes. Behind the chair large ornate gold salvers are arranged on shelves covered with white drapery. This was 'a kind of circular buffet ... lined by festoons and antique draperies of pink and silver' ('Ann. Reg.', 1811, p. 69). The sightseers are on the farther side of the table (left) with their backs to the windows, John in the centre; he says, pointing: ""Why Odd Zookers this is marvellous fine indeed. Oh Nan how we should relish a rasher on one of they monstracious beautifull Plates, why now I think I shan't grumble to pay three or four Bank Tokens towards this grand treat--methinks I should Just like a nippikin too."" His wife puts out her hands protestingly: ""Oh John one of our milk white Chickens roasted by myself by our wood fire would be Luscioscious indeed."" His daughter says: ""La Feather do zee how they gilded Fishes be stareing at yow."" There are three loutish sons; one says: ""I say Sue I thinks I should not like that dry Shampain, but a Dobbin of our home brewed in that there gilded gold thing would be dreadfully noice indeed""; another (looking up at the (invisible) ceiling : ""Dang it if the top 0 the pleace beant all Eel pottles I'll be hang'd.""",Aggrandizement
(OCoLC)ocn270843839,185900,20240808182727.0,"Williams, Charles,1796-1866,etcher.","Regency fete, or, John Bull in the conservatory[print].",1 print :hand colored etching ;image: 246 x 373 mm; sheet: 263 x 380 mm,summary,wife,"A farmer (John Bull) and his family gape in amazement at the arrangements for the Regency fête on 19 June. The narrow table extends across the design receding from left to right, the cloth hanging over the seats of chairs in the foreground. The famous canal decorates the centre of the table with its gold and silver fish, and the table is laid with gold plate, and ornate cut-glass goblets and decanters labelled 'Dry Champain', 'Claret', and 'Burgundy'. There are three-branched gold candelabra. The Prince's chair is on the extreme right; beside it stand a man in livery and an attendant in plain clothes. Behind the chair large ornate gold salvers are arranged on shelves covered with white drapery. This was 'a kind of circular buffet ... lined by festoons and antique draperies of pink and silver' ('Ann. Reg.', 1811, p. 69). The sightseers are on the farther side of the table (left) with their backs to the windows, John in the centre; he says, pointing: ""Why Odd Zookers this is marvellous fine indeed. Oh Nan how we should relish a rasher on one of they monstracious beautifull Plates, why now I think I shan't grumble to pay three or four Bank Tokens towards this grand treat--methinks I should Just like a nippikin too."" His wife puts out her hands protestingly: ""Oh John one of our milk white Chickens roasted by myself by our wood fire would be Luscioscious indeed."" His daughter says: ""La Feather do zee how they gilded Fishes be stareing at yow."" There are three loutish sons; one says: ""I say Sue I thinks I should not like that dry Shampain, but a Dobbin of our home brewed in that there gilded gold thing would be dreadfully noice indeed""; another (looking up at the (invisible) ceiling : ""Dang it if the top 0 the pleace beant all Eel pottles I'll be hang'd.""",GenderTerms
(OCoLC)ocn270843974,185999,20240808182729.0,"Cruikshank, George,1792-1878,etcher.",The hero's return[print] /David pinxit ; etched by G. Cruikshank.,1 print :etching ;image: 243 x 374 mm; plate mark: 301 x 402 mm; sheet: 309 x 413 mm,summary,wife,"A scene in the Empress's dressing-room. Marie Louise is horror-struck at the appearance of Napoleon who advances towards her in profile astride the back of a crawling Mameluke; he is held up by two other Mamelukes who support his arms and shoulders. He is terribly emaciated and appears moribund. He wears uniform; his legs, feet, and hands are swathed in bandages, his (former) ear and nose covered with black patches. The crawling Mameluke, presumably Roustan, holds out a bottle containing a pointed nose, and labelled 'Le Nez de l'Empereur'. Immediately behind Napoleon and his three supporters are two kneeling Mamelukes, each reverently holding a tasselled cushion supporting a bottle; one being labelled 'Les Doights [sic] de l'Empereur Napole ...', the other, 'Les Oreilles de l'Empereur Napoleon'. Behind them (left) another Mameluke advances with a bottle labelled 'Les Doights du pied de l Empereur Bon ...' The Mamelukes wear Turkish dress with turbans. Napoleon looks in tragic silence at his wife, who is seated in regal state but turns aside weeping with violent gestures of despair. A small terrestrial globe decorates her chair; her foot rests on a stool in the form of a flattened polar hemisphere on which the word 'Brit[ain]' is visible. Over her low-cut dress is an ermine-bordered robe clasped with a fleur-de-lis. She is supported by an emaciated court-lady, with a patched face, proffering a smelling-bottle, whose profile and a small crown show that she is one of Napoleon's sisters; two other ladies, wearing crowns, stand behind the Empress, registering consternation. A less conspicuous lady weeps. On the Empress's right kneels the Governess of the King of Rome, Mme de Montesquiou, holding the screaming child, and weeping noisily. He registers angry terror at the sight of his father; his little crown has fallen off. His features, though fore-shortened and distorted, resemble those of his father. He wears an ermine-trimmed robe over his childish tunic and breeches. Behind the Governess is a draped dressing-table, the drapery decorated by a large fleur-de-lis, and the toilet boxes ornamented with crowns. A terrified monkey climbs up the mirror, clutching at the crown which surmounts it, and looking over its shoulder at the shocking spectacle presented by the Emperor. On the extreme right a lap-dog stands on a cushion barking furiously at Napoleon. On the ground on the extreme left are two large round coffers, one inscribed 'Coffre Pour la Bijoutère [sic] Russe', the other expectantly open. Voluminous draperies on the left and right, supported on the right by a pillar add to the regal character of the room.",GenderTerms
(OCoLC)on1151767823,434275,20240808182727.0,"Cruikshank, George,1792-1878,etcher.","Boney tir'd of War's Alarms, Flies for Safety to his darlings Arms[print].",1 print :hand colored etching ;image: 220 x 336 mm; sheet: 249 x 351 mm,summary,Revolutionary,"Napoleon Bonaparte in ragged uniform, enters Empress Marie Louise's apartments, complaining ""My reputation is gone forever - I must plead for Peace - Infandum Regina juves renovare dolorum""; he rides on the back of the winged Devil who advises Marie Louise to ""Take him to bed my lady & Thaw him, I am almost petrified in helping him to escape from his Army! I shall expect him to say his prayers to me every night!""; on seeing her husband, Marie Louise, in a floral robe, rushes forward to embrace him, crying ""Come to my arms my Hero & tell me all the Secrets of your Glorious Campaign"", observed by two attendant ladies dressed in red and blue; her lapdog scared of the Devil, to their left a monkey; seated on a violin and wearing Revolutionary cap and cockade, reads a menu of food eaten during the Retreat from Moscow, whilst another lapdog shoulders the bow as a musket; by the fire place (above which hangs a picture of ""A Damn'd Cossack""), the infant King of Rome is asking his nurse; ""Nursey has Papa cowed the Russians as the English Cowed us"", the nursemaid replies, ""No your Majesty the Russians fought like Bulls & their Nobility proved Staunch Patriots.""",Aggrandizement
(OCoLC)ocn270843968,185998,20240808182729.0,"Cruikshank, George,1792-1878,etcher.",Murat reviewing the grand army!!!!![print] /G. Cruik [sic] fect.,1 print :hand colored etching ;image: 223 x 338 mm; sheet: 252 x 351 mm,summary,Slaves,"Murat, on a miserably decrepit horse which stands (left) in profile to the left, looks over his shoulder, horrified at the remnants of the army, a row of nine ragged and emaciated scarecrows. All are grotesquely burlesqued. Murat is in better case than the 'Army', but his horse is a skin-covered skeleton; its hollow flank is inscribed 'Boney Part'. He wears a plumed bicorne like that of Napoleon and huge lack-boots with monstrous spurs. He says: ""If I be not ashamed of my Soldiers I'll be D--d, by Gar they are truly Miserable! the very scum of the Earth: the Refuse of Mankind the Sweepings of Hospitals & Workhouses! Dunghill Cocks, not fit to Carry guts to a Bear!! Wretches with Hearts in their bellies no bigger then pin's heads Slaves as ragged as Lazarus--there isn't half an inch of Shirt amongst them all!! Zounds the Russians will think I have unloaded all the Gibbets, & prest the dead bodies. but--however the Crows & the Cossacks will soon put an end to them."" The men are of different sizes, shapes, and arms, and recede in perspective from right to left. On the extreme right a man wearing a cocked hat and enormous spurred jack-boots holds a battered sabre. Next, a ragged drummer wearing bonnet rouge and sabots; then a tall grenadier with a musket. Then an elderly officer of civilian appearance, wearing spectacles, holds up a grotesque, decapitated eagle spatchcocked on its staff, with tricolour rags inscribed 'Leigeon of Honor'. The next man wears trousers and holds a musket, as does the one-eyed cripple next him. A cavalryman with a plumed helmet and sabre is almost naked. A knock-kneed grenadier has lost his right arm. The last man wears a bonnet rouge.",SlaveryTerms
(OCoLC)ocn270843968,185998,20240808182729.0,"Cruikshank, George,1792-1878,etcher.",Murat reviewing the grand army!!!!![print] /G. Cruik [sic] fect.,1 print :hand colored etching ;image: 223 x 338 mm; sheet: 252 x 351 mm,summary,cripple,"Murat, on a miserably decrepit horse which stands (left) in profile to the left, looks over his shoulder, horrified at the remnants of the army, a row of nine ragged and emaciated scarecrows. All are grotesquely burlesqued. Murat is in better case than the 'Army', but his horse is a skin-covered skeleton; its hollow flank is inscribed 'Boney Part'. He wears a plumed bicorne like that of Napoleon and huge lack-boots with monstrous spurs. He says: ""If I be not ashamed of my Soldiers I'll be D--d, by Gar they are truly Miserable! the very scum of the Earth: the Refuse of Mankind the Sweepings of Hospitals & Workhouses! Dunghill Cocks, not fit to Carry guts to a Bear!! Wretches with Hearts in their bellies no bigger then pin's heads Slaves as ragged as Lazarus--there isn't half an inch of Shirt amongst them all!! Zounds the Russians will think I have unloaded all the Gibbets, & prest the dead bodies. but--however the Crows & the Cossacks will soon put an end to them."" The men are of different sizes, shapes, and arms, and recede in perspective from right to left. On the extreme right a man wearing a cocked hat and enormous spurred jack-boots holds a battered sabre. Next, a ragged drummer wearing bonnet rouge and sabots; then a tall grenadier with a musket. Then an elderly officer of civilian appearance, wearing spectacles, holds up a grotesque, decapitated eagle spatchcocked on its staff, with tricolour rags inscribed 'Leigeon of Honor'. The next man wears trousers and holds a musket, as does the one-eyed cripple next him. A cavalryman with a plumed helmet and sabre is almost naked. A knock-kneed grenadier has lost his right arm. The last man wears a bonnet rouge.",Disability
(OCoLC)ocn270843982,186001,20200518172201.0,NULL,Indian jugglers[print].,1 print :hand colored etching ;image: 182 x 258 mm; plate mark: 235 x 316 mm; sheet: 253 x 333 mm,summary,Indian,"Three Indian acrobats performing on a raised dais, all dressed in white shirts and striped pantaloons, one playing cymbals, one swallowing a sword and one balancing a top on his nose whilst spinning hoops on his toes, paraphernalia of their act on the dais including a snake, balls and a sack, vignettes of Chinese grotesques playing tricks below.",RaceTerms
(OCoLC)ocn270843853,185904,20240808182728.0,"Agg, John,1783-1855,author.","The r---l lover, or, The admiral on a Lee shore.",1 sheet (1 page) :illustration (hand colored etching) ;40 x 24 cm,summary,Miss,"Heading to verses printed in three columns. In a room at Wanstead House the Duke of Clarence kneels, clasping his hands with burlesqued anguish, his hair on end. He wears admiral's uniform, and is unrecognizable. Miss Tylney-Long stands by the open door (left) frowning and extending an admonitory forefinger. On the wall (left) is a plan inscribed 'Tinley[sic]-Estate', and behind the Duke (right) a picture of Mrs. Jordan, 'The Deserted Cora', surrounded by nine sons and daughters. She says: ""This is the best reward of Royal Gratitude for Twenty years of Care & Motherly Attention Come then my Children lets persue the middle path & leave to Courts & Royalty its Blackest stain Ingratitude."" The verses are from a satire by John Agg (Peter Pindar, Junior) published in 1812 which went through at least twelve editions in that year. The title continues: 'or a D--e defeated: containing particulars of a Journey to W--d House; ... a poem'. Twenty-one (out of seventy-two) verses are printed on the broadside. They begin: ""What! leave a woman to her tears? / Your faithful friend for twenty years ...""",GenderTerms
(OCoLC)ocn270843995,186003,20240808182730.0,"Cruikshank, George,1792-1878,etcher.","Ble-voir frolics, or, Punch's christening. Meteor, No. 4 February 1st 1814[print] /G. Cruikshank.",1 print :hand colored etching ;image: 191 x 478 mm; sheet: 210 x 486 mm,summary,prominent,"A burlesque on the christening of the Duke of Rutland's heir. The figures have large heads, like Woodward's 'Lilliputian' designs. A grotesque archbishop, wearing a mitre poised on a bushy wig, stands beside a giant punch-bowl, clasping his hands and shouting at a drunken parson who stands on a ladder leaning against the bowl, into which he has dropped a miniature Punch, with the long beak-nose which Cruikshank gives to the King of Rome. The child falls in head first, waving a ladle; lemons float on the agitated surface of the punch. The parson says: ""I Baptize thee--hic Bless his little heart he's tumbled in the Bowl!!! / -- or care remain / we'll drown him in the Bowl the Bowl hic!--"" A lady with feathers in her hair leans across the bowl trying to reach the child and screaming: ""Oh! Save the Marquis--little Punch is in the Bowl."" The Archbishop shouts: ""You Drunken Wretch what the Devil are you about?!! if you are going to drown the Child I could have done that my self & be D--d to you."" Beside the parson's ladder stands his clerk, with his back to the bowl, pouring punch into his mouth with a ladle; he says: ""D--d good."" In his left hand is an open book inscribed 'Amen'. The Duke of York in uniform and spurred jack-boots stands near (left); he holds a brimming glass, and scowls sideways at the clerk, saying, ""D--n that Clarke how he is pilfering the Punch to be sure!!!--I hate a Clarke as I hate the Devil."" On a round table on the extreme left stands an elderly Punch, his vast nose much drink-blotched. He capers delightedly, holding up a glass, and says: ""Punch cures the Gout ye Colic & ye Phthisic--Come Drink away my Friends for this is Punch's Holiday therefore we will be merry--here's to you Mr Higgins here's to you Mr Wiggins so we'll push the Punch about."" Bottles and lemons are on the floor by his table. On the right the Regent, glass in hand, is a prominent figure; he dances opposite a lady (? the Duchess of Rutland), who leers at him, hands on hips; she holds a punch-ladle, and wears a small steeple-crowned hat poised sideways, and a large spiky ruff; she says: ""Drink drink & Kiss the Lasses that's your play Kiss away."" The Regent, ogling her, sings: ""Round about the Punch Bowl how we Trot!"" On the extreme right, and in shadow, Sheridan dressed as Harlequin slinks off, quoting Wolsey: ""If I had serv'd my God with half the Zeal I serv'd my Prince, He would not have deserted me in my Nakedness."" In the background are other figures in outline: two elderly ladies in conversation (left), and two heads gaping in dismay over the edge of the bowl. The punch-bowl is decorated with figures in relief, a Bacchanal with vine-leaf border; the Regent, naked, with a girdle of vine leaves lies on his back; one naked child seated across him, holding up bottle and glass, a second empties a bowl into his mouth through a large funnel, a third brings in a bowl.",Aggrandizement
(OCoLC)ocn270844064,186021,20240808182731.0,"Hughes, John,1790-1857,printmaker.",The Oldenburg procession through Oxford. May 1814[print] /J.H. delt. & sculpt.,1 print :etching ;plate mark: 215 x 337 mm; sheet: 240 x 366 mm,summary,wife,"The names of the four Russians who advance from the right in profile are etched below the design. A hugely broad and fat don at the head of a procession of senior, and very ugly, members of the University takes with his left hand the left hand of the 'Duchess of Oldenburgh' who is straight and thin, her head entirely concealed in a huge 'Oldenburgh bonnet', and wearing long hanging sleeves resembling those of the dons' gowns. Behind him (left) is a don holding a (?) Bible. The duchess is followed by two hideous old women, broad and squat, 'Mesds Aladensky & Volochousky' [? the wife of Prince Nikita Volkonsky, A.D.C. to the Tsar]. Behind them walks 'Prince Gagarin', hat in hand, very broad and tall, and heavily whiskered. In the middle distance is a crowd of slim undergraduates, some of whom throw their caps into the air, with a few ladies. Behind is the dome of the Radcliffe Camera with the towers and spires of Oxford.",GenderTerms
(OCoLC)ocn270844005,186007,20240808182730.0,"Williams, Charles,1796-1866,etcher.",The Dutch toy[print].,1 print :etching ;image: 228 x 313 mm; plate mark: 260 x 336 mm; sheet: 277 x 353 mm,summary,coloured,"Princess Charlotte (a flattering portrait) stands raising a whip to lash a top spinning on the floor, on which sits in profile to the right a little Dutchman smoking a pipe. He wears the short jacket, bulky breeches, and flower-pot hat of the Dutchman in English caricature, but orange-coloured and with epaulets, and with a paper inscribed 'Contract' in his pocket to show that he is the Prince of Orange. An ermine-lined robe hangs from her shoulders over a décolletée dress. She says: ""Take this for Ma! and this for Pa!--and this! and this! for myself, you ugly thing you!--"" The door (right) is slightly open, allowing an arm holding a birch-rod tied with orange ribbon and an unmistakable leg to project into the room. The words of the concealed Regent float in on a label: 'If you don't find pleasure in whipping the Top, I shall whip the Bottom!' Against the wall (left) is a square piano with an open music-book, with the words and music of a song: 'An Obstinate Daughter's the plague of you [sic] life / No rest can you take tho your rid of your Wife / At twenty she laughs at the duty you taught her / Oh! what a plague is an obstinate Daughter.' [Sheridan, 'The Duenna'] On the piano is a book, 'School for Wives' [comedy by Hugh Kelly, 1773]. On the wall is a picture of Cupid standing on his head on a terrestrial globe at the point where 'Holland' is marked: he has dropped his bow, arrows fall from his quiver towards 'England'.",RaceEuphemisms
(OCoLC)ocn270844005,186007,20240808182730.0,"Williams, Charles,1796-1866,etcher.",The Dutch toy[print].,1 print :etching ;image: 228 x 313 mm; plate mark: 260 x 336 mm; sheet: 277 x 353 mm,summary,Wife,"Princess Charlotte (a flattering portrait) stands raising a whip to lash a top spinning on the floor, on which sits in profile to the right a little Dutchman smoking a pipe. He wears the short jacket, bulky breeches, and flower-pot hat of the Dutchman in English caricature, but orange-coloured and with epaulets, and with a paper inscribed 'Contract' in his pocket to show that he is the Prince of Orange. An ermine-lined robe hangs from her shoulders over a décolletée dress. She says: ""Take this for Ma! and this for Pa!--and this! and this! for myself, you ugly thing you!--"" The door (right) is slightly open, allowing an arm holding a birch-rod tied with orange ribbon and an unmistakable leg to project into the room. The words of the concealed Regent float in on a label: 'If you don't find pleasure in whipping the Top, I shall whip the Bottom!' Against the wall (left) is a square piano with an open music-book, with the words and music of a song: 'An Obstinate Daughter's the plague of you [sic] life / No rest can you take tho your rid of your Wife / At twenty she laughs at the duty you taught her / Oh! what a plague is an obstinate Daughter.' [Sheridan, 'The Duenna'] On the piano is a book, 'School for Wives' [comedy by Hugh Kelly, 1773]. On the wall is a picture of Cupid standing on his head on a terrestrial globe at the point where 'Holland' is marked: he has dropped his bow, arrows fall from his quiver towards 'England'.",GenderTerms
(OCoLC)ocn270844027,186012,20240808182731.0,NULL,The ex-emperor in a bottle[print].,1 print :hand colored etching ;sheet: 272 x 325 mm,summary,prominent,"Napoleon stands in a bottle looking to the right, his right hand thrust under his waistcoat, as in Isabey's Malmaison portrait. He wears orders and ribbon, but no hat or sword. On the right stand closely grouped the allied sovereigns, on the left the generals. The Regent is the most conspicuous figure, holding up a tablet inscribed 'Martial Achievements', on which is a cannon. He wears ornate hussar uniform. The others are (left to right) Francis I, standing behind the others, Alexander, and Frederick William, his head in profile to the left. All are in uniform. In the front of them Louis XVIII kneels in profile to the left, with clasped hands, gazing up at the Regent's tablet. The most prominent general is Wellington, holding his sword and cocked hat; he wears two ribbons and is covered with orders, among which the collar and George of the Garter and the Golden Fleece are conspicuous. Behind him (left to right) are Platoff and Blücher, both much decorated, and Schwarzenberg who is partly behind the bottle. Not a caricature; the heads are stippled portraits. Below the title: 'Ambitions dread career at length is o'er, ... And the brave Platoff, ask their share of praise.' *THE MARTIAL ACHIEVEMENTS OF GREAT BRITAIN & HER ALLIES, a splendid graphical Work ...' [to be published in thirteen numbers, . . . each number £1. 1. 0 to Subscribers, £1. 11. 6 to non-subscribers].",Aggrandizement
(OCoLC)on1159705513,434682,20240808182725.0,NULL,The terrible Cochrane English amiral[print].,1 print :hand colored etching ;plate mark: 126 x 82 mm; sheet: 146 x 101 mm,summary,coloured,"A bust portrait of an officer directed to the left and glaring savagely, with irregularly bulging forehead, and thin upturned moustaches. His cocked hat, tilted sideways, is unlike that of a British naval officer, and his coat is coloured scarlet. He is grotesquely ferocious, with no resemblance to Cochrane.",RaceEuphemisms
(OCoLC)ocn270844057,186019,20240808182731.0,NULL,Sittings at Westminster Hall in the courts of Kings Bench Common Pleas Chancery Exchequer[print].,1 print :etching and aquatint ;image: 212 x 339 mm; plate mark: 250 x 352 mm; sheet: 266 x 369 mm,summary,famous,"A design in four panels. In each sits the judge of the court. In the first three the judge sits on the bench, at a small desk in front of him, with the Royal Arms enclosed in a circle behind his head, quartering the fleur-de-lis discarded in 1801. Below each is a motto. [1] Lord Ellenborough stares to the left, holding in his right hand a paper: 'King v. Lord Cochrane Judgment of the Court £1000 fine & Imprisonment'. Below: 'Magistratus indicat Virum'. [2] Sir Vicary Gibbs, C.J. of the Common Pleas, is writing, his hand on a book, his keen profile turned to the right; in his left hand is a paper: 'King--v.-- Horne Tooke &c.' Below: 'Disponendo me, non mutando me.' He assisted Erskine in the defence of Horne Tooke and others in the famous trial of 1794, the acquittal being due to his forcible exposition of the law and to Erskine's eloquence. As Attorney-General (1807-12) he had been a subject of satire. [3] Lord Eldon stares straight at the spectator. Over his desk hangs a bulky document, partly rolled: 'The 150th application to the Chancellor upon the affairs of the opera house & that his Lordship may direct the manager what sum of money shall be given to madame Cata-squallini to sing one night in a week for a season of 3 months she having considered 5.000 Guineas not a sufficient equivalent for her Notes.' Below: 'Æquanimiter'. The opera house was insolvent and the subject of much litigation. [4] Sir Alexander Thomson (or Thompson), Chief Baron of the Exchequer from Feb. 1814 to his death in Apr. 1817, sits full-face at a table covered with a green cloth, a sloping writing-desk before him, holding a paper. Behind him, below three small rectangular windows with leaded frames, hangs a green curtain in straight folds. On the table are documents, &c., one inscribed 'Information and £30.000 penalty for illicit Distillation'. Below: 'Vestigia nulla retrorsum' [abridged from Horace, 'Epistles', 1. i. 74-5 (no footsteps lead back from his Court)]. Cf. British Museum online catalogue.",Aggrandizement
(OCoLC)on1204268743,435341,20240808182727.0,"Cruikshank, George,1792-1878,etcher.",Les savoyards[print] /G. Cruikshank fect.,1 print :hand colored etching ;image: 219 x 332 mm; sheet: 222 x 333 mm,summary,coloured,"A street scene, with the railing and ground-floor of a substantial London house as background. A man turns the handle of an orgue de barbarie slung from his neck, while he sings; with him are two women, one sings, a tambourine in her hands, the other plays a fiddle. All are neatly dressed, the women have coloured scarves round their high coiffures, and wear long ear-rings. All three have a general resemblance to the Italian witnesses of prints of 1820. The spectators are a pugnacious-looking butcher with meat-tray and bull-dog, a dustman with his bell under his arm, a fat fishwoman with a basket on her head, a ragged boy with a hoop. Other persons walk along the pavement behind the performers; an apple-woman looking over her shoulder pushes her barrow into a lady, while a little chimney-sweeper steals her apples. Two dandies and a lady are on the extreme right. At an open window a fat woman listens to the music and coquettes with a dandy. Cf. British Museum online catalog.",RaceEuphemisms
(OCoLC)ocn270847457,186939,20240808182732.0,"Cruikshank, George,1792-1878,etcher.","The advantages of travel, or, ""A little learning is a dangerous thing.""plate 1[print] /etched by G. Ck.",1 print :hand colored etching ;image: 250 x 343 mm; sheet: 272 x 366 mm,summary,exotic,"Two Frenchmen, raffish and cockneyfied, face each other in a cobbled Paris street. Their conversation is below the title: Comment se porte mon amie? [sic]--Moi--I am jost come from de England--Aha, you vas jost come from de England! Den how you like de Bif?--Le Bif roté is charmant à Londres! Yase dat is vrai--bote je prefare le Rum-Tek!--Le Rum-Tek! vat is de Rum Tek?--Voyez vous--it is toujours de Bif Tek--Mais--bote--dau--call it Rum tek--ba--cause day pote de Rum in de Sauce. The last speaker demonstrates with an exotic gesture; the other gapes at him clasping a huge umbrella, the ferrule erect. A shaved poodle scampers off. The ground-floors of two adjacent shops form a background. In the doorway of one an elegant waiter leans negligently, watching the colloquy with a quizzical smile. The window is filled with fruit, &c., and notices: Ici on Parle L'Anglois, Welch Rabbit, Biftek, Ponche à la Romaine, Dejeuné à la Fourchette, Diner a la Carte. A little ragged boy gazes in. Above: Jargon. Restaurateur. Billard. Above this are crossed billiard-cues with three balls. On the adjacent wall (right) are placards: Diner ... 50 Sous ... Pain a discretion; Dejeuné 10 Sous. The adjacent establishment (right) is more modest: in the window are bottles and long loaves; a pane is cracked. Above: C Grenouille--Traiteur--Ici on donne à boire et à manger a tout prix. A man and woman (?English) walk past this window; they turn to stare with amusement at two men. On the wall are municipal signs A.G. (left) and P.A.C.I. (right). Cf. BM Satires.",RaceTerms
(OCoLC)on1050161233,442473,20240808182749.0,"Cruikshank, George,1792-1878,etcher.","The new Union Club :being a representation of what took place at a celebrated dinner given by a celebrated society - vide Mr. M-r-t's pamphlet, ""More thoughts,"" &c. &c.[print].",1 print :hand-colored etching ;image: 308 x 477 mm ; plate: 315 x 489 mm ; sheet 335 x 502 mm,summary,important,"A design based on Gillray's ""The Union Club"" (1801), the roistering fraternizers being English and Africans, in place of English and Irish. A racist and complex print purports to show a dinner held at the African Institution, becoming increasingly drunken and debauched as the evening progresses. Cruikshank employs many common 19th-century racist stereotypes of black people - drunkenness, aggressiveness, and sexual promiscuity - and lampoons the idea that black people could aspire to behave like white people. In the print, the white abolitionists are portrayed as unsuspecting and bewildered innocents who find themselves entirely out of their depth. Cruikshank seems to suggest that their association with black people has corrupted them - that they are being 'uncivilised' rather than black people becoming 'civilised'. Meanwhile, the idea of relationships between races is ridiculed. Many familiar and important figures are represented. Abolitionists like Wilberforce, Stephen and Macaulay appear next to the street entertainer Billy Waters and the radical Robert Wedderburn ... See a full description at Royal Museums Greenwich online catalogue.",Aggrandizement
